name,hydroscope,huc,huc_name,station_nm,site_number,vector
Eel River,"The Eel River, or Taanchow River to the Kato people, changes every day. Because of earthquakes and extreme weather, its course and flow rates are quite variable. This river is greatly affected by agriculture and industry, but was designated off-limits to new dams in 1981 under the Wild and Scenic River program. You may find your circumstances to be turbulent, or notice that you have frequent changes of heart. You may need to implement some protective measures in your life to give you the stability you need to thrive under these conditions.",18,California Region,"Eel River at Fernbridge, CA",11479560,
Guadalupe River,"The Guadalupe River is home to the southernmost run of Chinook salmon in the United States. You may find yourself in a unique position, gifted with a special treasure or talent but not feeling as if you quite fit in to the group that's formed around it. Recent DNA sequencing proved that these salmon have been native to this watershed for centuries. Whatever you've been blessed with, there is no need to worry about whether it is truly yours.",12,Texas-Gulf Region,"Guadalupe River at Sh 35 near Tivoli, TX",8188810,
Hoh River,"The Hoh River is fed by glaciers, whose fine sediment lend it a slate blue color in places. You may be inclined toward the occasional bout of the ""blues"", or phases where you feel something is clouding your vision. The Hoh's color returns to normal as it is joined by tributaries. Joining forces with those who are headed in the same direction may help you achieve clarity.",17,Pacific Northwest Region,"Hoh River at Us Highway 101 Near Forks, WA",12041200,
Hudson River,"The Hudson River starts as Feldspar Brook, before it is joined by the Opalescent River, which in turn becomes Calamity Brook. Despite being one of America's most iconic rivers, it is not known by its common name until well along its course. You may be destined to live through a series of identities in this lifetime. Embrace these changes with grace, and if you ever doubt your consistency, know that it is precisely your multifaceted nature that makes you who you are.",2,Mid Atlantic Region,"Hudson River at Pier 84 at New York, NY",1376515,
Humboldt River,"The Humboldt River is almost 100 miles longer than formal estimates have previously held, because it sports so many twists and turns. There is almost certainly more to you than meets the eye, but don't worry about proving it; it will become obvious in due time.",16,Great Basin Region,"Humboldt River near Rye Patch, NV",10335000,
James River,"The James River, first called the Powhatan River by the Native American Powhatan Confederacy, once served as a major trade route for tobacco and produce, but eventually fell victim to a large spill of insecticide which contaminated the river and damaged many local economies. You may have much luck and success in the material world; be careful not to become so protective of it that it damages your community.",2,Mid Atlantic Region,"James River at Jamestown Ferry Pier, VA",2042770,
Jordan River,"The Jordan River is regulated by pumps at its headwaters. Originally a cold-water fishery supporting several native species of fish, the waters have warmed up common carp now rule its waters. The Jordan is a key resource for another group of animals, however, providing food, water, and habitat to the thousands of migrating birds that migrate up and down the flyways of the Great Basin. If one avenue has ""dried up,"" you may need to look in unexpected places––or put in a bit of elbow grease––to find new motivation and community.",16,Great Basin Region,"Jordan River @ Cudahy Lane near Salt Lake City, UT",10172600,
Kennebec River,"The Kennebec is a fairly still and calm river––it has no rapids at all––and because of its accessibility and connection to the Atlantic Ocean, several ships have been built there. It brings to mind the John A. Shedd quote: ""A ship in harbor is safe, but that is not what ships are built for."" You may be destined for great deeds and adventures beyond the calm waters of your comfort zone. Don't worry; you were built for them.",1,New England Region,"Kennebec River at Gardiner, ME",1049505,
Kern River,"The Fort Tejon earthquake in 1857 completely switched the direction of the Kern River, temporarily stranding fish on its banks. It is still treacherous in places, and sometimes known as the ""killer Kern."" Tubing and rafting are popular activities along its turbulent rapids. You may find yourself navigating unexpected and even dangerous conditions in your life. Prioritize your own safety, but don't shy away from the occasional adrenaline rush. Just make sure to resume in your original direction when whatever event is shaking things up has passed.",18,California Region,"Kern River near Bakersfield, CA",11194000,
Klamath River,"The Klamath River has been called an ""upside down river,"" because unlike most rivers, it begins in the desert and flows through the mountains before reaching the sea. It boasts many of the longest free-flowing stretches of river along the west coast of the United States. Sometimes it will be necessary for you to defy expectations and norms to find your freedom. ",18,California Region,"Klamath River near Klamath, CA",11530500,
Little Red River,"Greers Ferry dam has had a major impact on the Little Red River, changing its temperature drastically with the release of large volumes of cold water. This affects the number and type of fish that inhabit this section of the river; what was once known as an excellent trout fishing area has seen the decline of many native warm-water species. If you are inclined to make a great sacrifice in life, especially to gain some kind of power, make sure that what you're building is worth it––and is capable of giving back to the place in which it is anchored.",11,Arkansas-White-Red Region,"Little Red River at Judsonia, AR",7076634,
Merrimack River,"Over the years, the Merrimack has supported a great deal of trade and industry. Massachusetts and New Hampshire are working together to add infiltration wells to increase the amount of drinking water that this historically polluted river can provide. Through collaboration, you may be able to rescue something that was once lost.",1,New England Region,"Merrimack River 0.3 Miles U.S.Rt 125 at Haverhill, ME",1100693,
Mississippi River,"The Mississippi embayment is home to some of the best crop soil in the country. Yet it is precisely the high levels of nutrient and chemical runoff from all the agricultural activity it supports that form the Gulf of Mexico Dead Zone. You may have been given a great gift, but take care not to welcome anything toxic into your life. You will thrive best when you can learn to consider the needs of those far downstream of you.",8,Lower Mississippi Region,"Mississippi River at Baton Rouge, LA",7374000,
Missouri River,"The Missouri River is seen as a tributary of the Mississippi, but on its own, it is much longer and carries almost the same amount of water. You may need to learn what to do when others try to take credit for your work, or you feel as though you are living in someone else's shadow. For now, stand tall on your own merit; eventually, you will effortlessly join forces with whatever is troubling you.",10,Missouri Region,"Missouri River at St. Charles, MO",6935965,
Mobile River,"There are over 100 species of freshwater snail that are endemic to the Mobile River Basin––that means they are found nowhere else in the world! However, extensive damming has created many more shallow shoals than occur naturally, negatively impacting the river's rich biodiversity. You may believe you are ordinary or insignificant, but if given a closer look, your talents and traits are incredibly unique. Don't let the actions or words of others drain you of your depth.",3,South Atlantic-Gulf Region,"Mobile River at River Mile 31.0 at Bucks, AL",2470629,
Neches River,"Much of the habitat of the upper Neches is protected with Wildlife Refuges, Wilderness Areas, and Natural Preserves, while more industrial activities take place downstream, close to the river's mouth which empties into a port. When you put your own needs and connection to the natural world first, you are able to be an effective channel for work, play, and positive change.",12,Texas-Gulf Region,"Neches River Saltwater Barrier at Beaumont, TX",8041780,
Nueces River,"Beautiful pecan trees line the banks of the Nueces, whose name is Spanish for nuts. Pecans historically symbolize health and wealth, and you will have plenty of both if you can relax and truly accept what the tides of good fortune have to bring.",12,Texas-Gulf Region,"Nueces River at Calallen, TX",8211500,
Ohio River,"The Ohio River is known as a ""climactic transition area,"" as it transits between subtropical and continental climate zones. This means that part of the river regularly freezes, but its other end where it meets the Mississippi, it never does. This river supported major trade routes for the Iroquoian and Mississippian Native tribes. You may feel you have two different ""faces"" at times, but this can be a great gift in the context of communication and exchange.",5,Ohio Region,"Ohio River at Olmstead Buoy 3, IL",370812089055901,
Piscataqua River,"The Piscataqua is a tidal river, with its Abenaki name loosely translated to ""branch with strong current."" You may feel exceptionally sensitive to the rise and fall of the emotions of others or conditions in the world, what some call an ""empath."" This may feel like a curse at first, but when given proper care and attention, it can become a great superpower. Tune in to what the universal tides are trying to communicate.",1,New England Region,Piscataqua River,430521070453501,
Potomac River,"After mining, agriculture and sewage runoff decimated the Potomac in the 1800s, the development wastewater treatment plants and the restriction of sources of phosphorous under the Clean Water Act had banished the massive algal blooms that had come to curse the river. While the river is still vulnerable to human pressures, especially due to metals, pesticides, and invasive species, it is important to remember how far we've come in protecting it so we can build on our success. Cherish your wins, especially when it comes to eliminating toxic elements from your life, and continue your quest for holistic self-care.",2,Mid Atlantic Region,"Potomac River at Cameron St Dock at Alexandria, VA",165258890,
Presumpscot River,The Presumpscot River Preserve has been protected for twenty years by the State of Maine and the City of Portland. The river also supports hydroelectric power downstream. You're doing a good job protecting something valuable while also staying productive. Way to go!,1,New England Region,"Presumpscot River at Westbrook, ME",1064118,
Rainy River,"The International Game Fish Association All-Tackle world record was set along this river, by a man named Joel Anderson, who caught a white sucker that weighed almost seven pounds. Sometimes you may feel like a big fish in a small pond. You are actually just a pretty big fish overall. Celebrate your accomplishments.",9,Souris-Red-Rainy Region,"Rainy River Near Boat Landing at Wheelers Point, MN",5137500,
Red River,"Clay and silt containing iron oxides give the Red River its color––it is almost literally ""rusty."" If there is an old skill, pleasure, or relationship that has become rusty, it may be a good time to breathe some life back into it.",11,Arkansas-White-Red Region,"Red River north of Simmesport, LA",7355690,
Red River of the North,"This river has been enormously prone to flooding, including ancient ""paleofloods"" which have left visible traces of their dramatic effects on local landscapes. Floods symbolize cleansing, and in some Hindu mythology, a deluge signifies a transition into a new epoch, during which deities  try to help humans preserve knowledge for future generations. You may be having an ""Interstellar"" moment: is the future telling you to hold on to some piece of knowledge or wisdom through a great transition?",9,Souris-Red-Rainy Region,"Red River Of The North at Pembina, ND",5102490,
Richelieu River,"This river was originally called ""Masoliantekw"" in Abenaki, meaning ""water where there is plenty of food."" The Richelieu River has since been the site of many battles among the Iroquois, French, British, and Americans. It may be tempting to fight over resources; remember that conflict arises when we forget that there is enough for everyone.",4,Great Lakes Region,"Richelieu River (Lake Champlain) at Rouses Point Bridge, NY",42950000,
Rio Grande,"The Rio Grande's watershed is massive, but it's even bigger when you count the many ""endorheic"" basins that lie adjacent to the river. An endorheic basin is essentially a closed lake or swamp with no outflow to rivers or the sea. Instead, the water may evaporate and fill with rainfall seasonally. You may occasionally feel isolated or siloed from others.  Remember that connection comes in many forms and is not always apparent right away. If you feel lonely, remember that you are made of the same minerals, and living under the same sun, moon and stars as everyone on Earth. Seasonal changes, physical and metaphorical, are also shared.",13,Rio Grande Region,"Rio Grande near San Benito, TX",8473700,
Rogue River,"The Rogue River is home to many beaver, an animal that symbolizes hope, collaboration, wealth, wisdom, and success in many cultures. However, when European explorers and settlers began trapping beaver for their pelts along the Rogue, violent conflict ensued.  The reckless pursuit of wealth or comfort might lead to a devastating battle that renders its winnings meaningless. Remember that true success requires collaboration.",17,Pacific Northwest Region,"Rogue River at Hwy 101 Bridge, at Wedderburn, OR",14378430,
Sabine River,"Bald cypress trees grow along the the Sabine River, or Río de Sabinas, which derives its name from the Spanish word for cypress.  For ancient Europeans and Muslims, cypress represented grief, mourning, and the underworld. However, in ancient Israel, these trees represented healing and eternal life because were known to endure extreme and unfavorable conditions. You may be entering or exiting a period of your life requiring great resilience.  Let yourself mourn for what is lost, but never doubt your inner strength.",12,Texas-Gulf Region,"Sabine River (At Navy Pier) at Orange, TX",8030540,
Saco River,"In the 1600s, Squandro, a Sokokis Native and purported magician, led a tribe that lived in peace with white settlers along the Saco River for decades, until three white sailors arrived on a ship from England and drowned Squandro's son. Squandro then cursed the river, saying that it would ""claim three lives a year, until all white men fled its banks."" The legend of this ""Saco curse"" lives on to this day. The man-made branch of the Saco is called ""Canal River,"" but the ""Old Course"" of the river remains. There may be something buried in your past that is still affecting you: a path you didn't take, a promise you broke, a devastating loss. But if your life is peaceful and productive now, it may be best to leave well enough alone.",1,New England Region,"Saco River at Camp Ellis Near Saco, ME",432742070225401,
Sacramento River,"Due to its wide, marshy outlet, animals from the Pacific Ocean have occasionally been found lost in the Sacramento River, such as Humphrey the humpback whale. In 1985, Humphrey made it almost 70 miles up the river before being rescued by scientists who played recordings of humpback whale sounds to lure him back to the sea. If something doesn't feel quite right, you may not be where you belong. Occasionally, you may need to enlist others' help to bring you back to yourself. That's okay; you're an adventurer at heart!",18,California Region,"Sacramento River at Rio Vista, CA",11455420,
Saint Lawrence River,"The Saint Lawrence is a tidal river, home to many populations of resident whales, such as belugas, sperm whales, minke whales, fin whales, blue whales, and North Atlantic right whales.  These magnificent animals represent compassion, solitude, and creativity. When in doubt, seek a safe harbor for these ideals to flourish.",4,Great Lakes Region,"St. Lawrence River at Cornwall Ont near Massena, NY",4264331,
Salinas River,"Between 2013 and 2016, the Salinas River's final stretch dried up for the first time in known history; previously, the river flowed continuously year-round. In 2017, heavy rainfall broke the drought, and the river's flow returned to normal. The Salinas provides a migration channel for many forms of wildlife, and nourishes fertile cropland and magnificent vineyards along its path through the Salinas Valley. If you find yourself in a ""dry spell"" in motivation, money, or love, remember that it's not permanent.  Soon, the winds will shift, and inspiration will be flowing once again.",18,California Region,"Salinas River near Spreckels, CA",11152500,
San Joaquin,"The San Joaquin river was once a wide inland sea, and it now supports almost $15 billion worth of crop production in its river basin. Things may look very differently for you now than they once did. Trust the journey.",18,California Region,"San Joaquin River at Jersey Point, CA",11337190,
Santa Clara River,"The Santa Clara River is home to stickleback, steelhead, and pond turtles.  Lithe pronghorn antelope once roamed its banks, symbolizing speed, stealth, and instinct. Pronghorns aren't common along the river today, but willow flycatchers are: these darty songbirds perch high atop tree branches and dive dramatically to catch insects in midair. You may feel that an era of nimble maneuvers is behind you. It will come around again, likely in a different form.",18,California Region,"Santa Clara River Near Haines, CA",341859119053301,
Savannah River,"The Savannah River was formed where two other rivers, the Tugaloo and the Seneca, merged. Today, this combined headwater is hidden beneath a lake. Your parents or family members may be very different from one another, but it is this beautiful confluence of opposites that makes you who you are. Don't lose touch with your roots.",3,South Atlantic-Gulf Region,"Savannah River (I-95) Near Port Wentworth, GA",2198840,
Seekonk River,"The Seekonk River banks are home to phragmites grasses, willow, oak, and beech.  Some consider willow bark the original painkiller, and symbolizes healing and recovery from pain, and the oak is an international emblem of strength and survival. When life hands you lemons, call on the wisdom of the natural world to find your inner strength. Phragmites reeds can be used to make flutes; making music or pursuing another creative hobby can help get you through this challenging time.",1,New England Region,"Seekonk River at Henderson Bridge, RI",414945071224100,
Skagit River,"The Savannah River was formed where two other rivers, the Tugaloo and the Seneca, merged. Today, this combined headwater is hidden beneath a lake. Your parents or family members may be very different from one another, but it is this beautiful confluence of opposites that makes you who you are. Don't lose touch with your roots.",17,Pacific Northwest Region,"Skagit River Near Mount Vernon, WA",12200500,
Souris River,"The flow of the Souris River varies greatly with the seasons; most of its volume comes from snowmelt and spring showers. You may be prone to relationships, personality traits, or even types of work that change with the seasons. Embracing this about yourself will allow you to find your own rhythm of consistency.",9,Souris-Red-Rainy Region,"Souris River near Westhope, ND",5124000,
Susquehanna River,"The Susquehanna is one of the oldest rivers in the world, dating from before two pre-continents slammed together! The Susquehanna has supported generations of tribes and traders with its plentiful oyster beds. Oysters are fantastic natural water filters, absorbing sediment and toxins out of the water. If you feel you've lost touch with the ancient source of wisdom within you, try filtering out some noise or ""pollution"" from your life.",2,Mid Atlantic Region,"Susquehanna River at Conowingo, MD",1578310,
Suwannee River,"Fifty-five springs feed the Suwannee as it winds through the Southeast. It also boasts Florida's only whitewater rapids. You may take inspiration from many sources, and transform it into something striking and magical. Indulge your creative side.",3,South Atlantic-Gulf Region,"Suwannee River at Manatee Springs near Old Town, FL",2323567,
Tennessee River,"The Tennessee, or Cherokee, River follows a U-shaped course. This river is a mighty waterway, and its unique shape and geography have made it a strategic military location as well as part of the ""Great Loop"" recreational route. You may have the occasional moment of déja vú, but don't be discouraged if you feel you are retracing old steps.  Sometimes you have to go backwards, and see your own patterns for what they are, to forge ahead.",6,Tennessee Region,"Tennessee River at Mile 5.3 near Paducah, KY",370221088314100,
Upper Colorado River,"One of the longest rivers in the U.S., the Colorado supports elk, moose, bears, cougars, almost 30 dams, and some 40 million people. You are destined for a rich and busy life, filled with color and variety. Don't be alarmed as your social circle widens and narrows just like the Colorado. Those who are truly aligned with you will find you and stick by you.",14,Upper Colorado Region,"Colorado River Ab Dirty Devil River near Hite, UT",9328990,
Upper Mississippi River,"The headwaters of the Mississippi are located at Lake Itasca, a small glacial lake in Northern Minnesota. This lake is only some 20 feet deep; looking at it, you'd be hard-pressed to tell it was the source of the nation's most iconic river. You have great potential within you; do not underestimate yourself, or let yourself be underestimated by others.",7,Upper Mississippi Region,"Mississippi River at Thebes, IL",7022000,
Warroad River,"After a diversion of the Warroad River's main channel caused flooding and damage to local roads, a watershed district project moved it back to its original path, and the hazard was eliminated. When in doubt, stick with your first instinct –– it is often correct. Trusting your intuition can save you time and money in the long run.",9,Souris-Red-Rainy Region,"Warroad River Near Highway 11 at Warroad, MN",5140515,
Weber River,"A rare plant species called ""hidden wirelettuce,"" with beautiful bright-pink flowers, is found along––and only along––the Weber River's corridor. You have something special to share with the world. Protect what makes you unique.",16,Great Basin Region,"Weber River Near Plain City, UT",10141000,
White River,"The White River's headwaters are ""fast and furious"" during winter and spring rains, and calm the rest of the year. You may be prone to similarly furious bursts of work, love, or inspiration. Ride these waves with grace, but when the rush is over, don't lose your spark in the rhythm of everyday life.",11,Arkansas-White-Red Region,"White River near Augusta, AR",7074850,
