,agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,parm_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu
5542,USGS,1435000,NEVERSINK RIVER NEAR CLARYVILLE NY,ST,41.89,-74.59,S,NAD83,1521.67,0.01,NAVD88,2040104,uv,10,NA,261892,[Profiler3.Depth10cm],wat,NA,1645597,0,9/20/2019,5/27/2020,250
5543,USGS,1435000,NEVERSINK RIVER NEAR CLARYVILLE NY,ST,41.89,-74.59,S,NAD83,1521.67,0.01,NAVD88,2040104,uv,10,NA,261893,[Profiler2.Depth0cm],wat,NA,1645597,0,9/20/2019,11/1/2019,42
5544,USGS,1435000,NEVERSINK RIVER NEAR CLARYVILLE NY,ST,41.89,-74.59,S,NAD83,1521.67,0.01,NAVD88,2040104,uv,10,NA,261894,[Profiler1.Depth20cm],wat,NA,1645597,0,9/20/2019,5/27/2020,250
5545,USGS,1435000,NEVERSINK RIVER NEAR CLARYVILLE NY,ST,41.89,-74.59,S,NAD83,1521.67,0.01,NAVD88,2040104,uv,10,NA,261895,[WTTrans.Piezometer2],wat,NA,1645597,0,9/20/2019,11/6/2019,47
5546,USGS,1435000,NEVERSINK RIVER NEAR CLARYVILLE NY,ST,41.89,-74.59,S,NAD83,1521.67,0.01,NAVD88,2040104,uv,10,NA,261897,[WT.Intake],wat,NA,1645597,0,9/20/2019,1/30/2020,132
5547,USGS,1435000,NEVERSINK RIVER NEAR CLARYVILLE NY,ST,41.89,-74.59,S,NAD83,1521.67,0.01,NAVD88,2040104,uv,10,NA,261898,[Profiler3.Depth0cm],wat,NA,1645597,0,9/20/2019,5/27/2020,250
5548,USGS,1435000,NEVERSINK RIVER NEAR CLARYVILLE NY,ST,41.89,-74.59,S,NAD83,1521.67,0.01,NAVD88,2040104,uv,10,NA,261899,[Profiler3.Depth5cm],wat,NA,1645597,0,9/24/2019,5/27/2020,246
5549,USGS,1435000,NEVERSINK RIVER NEAR CLARYVILLE NY,ST,41.89,-74.59,S,NAD83,1521.67,0.01,NAVD88,2040104,uv,10,NA,261900,[Profiler3.Depth15cm],wat,NA,1645597,0,9/20/2019,5/27/2020,250
5550,USGS,1435000,NEVERSINK RIVER NEAR CLARYVILLE NY,ST,41.89,-74.59,S,NAD83,1521.67,0.01,NAVD88,2040104,uv,10,NA,261902,[WTCond.Piezometer3],wat,NA,1645597,0,1/30/2020,5/27/2020,118
5655,USGS,1435900,NEVERSINK RESERVOIR NEAR NEVERSINK NY,LK,41.82788889,-74.6389167,1,NAD83,NA,NA,NA,2040104,uv,10,NA,256120,"[at 1,355 ft above NAVD of 1988]",wat,NA,1645597,0,10/31/2019,5/27/2020,209
5656,USGS,1435900,NEVERSINK RESERVOIR NEAR NEVERSINK NY,LK,41.82788889,-74.6389167,1,NAD83,NA,NA,NA,2040104,uv,10,NA,256121,"[at 1,383 ft above NAVD of 1988]",wat,NA,1645597,0,10/31/2019,5/27/2020,209
5657,USGS,1435900,NEVERSINK RESERVOIR NEAR NEVERSINK NY,LK,41.82788889,-74.6389167,1,NAD83,NA,NA,NA,2040104,uv,10,NA,256184,"[at 1,425 ft above NAVD of 1988]",wat,NA,1645597,0,11/1/2019,5/27/2020,208
5799,USGS,1436000,NEVERSINK RIVER AT NEVERSINK NY,ST,41.82,-74.6355556,S,NAD83,1253.99,0.01,NAVD88,2040104,uv,10,NA,251773,NA,wat,NA,1645597,0,7/12/2019,5/27/2020,320
5839,USGS,1436655,SHELDRAKE STREAM AT THOMPSONVILLE NY,ST,41.6678695,-74.6229383,S,NAD83,1173,10,NGVD29,2040104,uv,10,NA,257264,NA,wat,NA,1645597,0,11/22/2019,5/27/2020,187
5897,USGS,1436690,NEVERSINK RIVER AT BRIDGEVILLE NY,ST,41.63805556,-74.61688889,S,NAD83,1055.56,0.01,NAVD88,2040104,uv,10,NA,107405,NA,wat,NA,1645597,0,10/1/2007,5/27/2020,4622
5902,USGS,1437100,GUMAER BROOK NEAR WURTSBORO NY,ST,41.5986111,-74.4686111,S,NAD83,NA,NA,NA,2040104,uv,10,NA,257272,NA,wat,NA,1645597,0,12/10/2019,5/27/2020,169
5948,USGS,1437400,BASHER KILL AT CUDDEBACKVILLE NY,ST,41.45342667,-74.58849408,S,NAD83,NA,NA,NA,2040104,uv,10,NA,255824,NA,wat,NA,1645597,0,10/19/2019,5/27/2020,221
6405,USGS,1437500,NEVERSINK RIVER AT GODEFFROY NY,ST,41.4411111,-74.6019444,S,NAD83,458.86,0.01,NAVD88,2040104,uv,10,NA,241782,NA,wat,NA,1645597,0,10/18/2018,5/27/2020,587
6850,USGS,1438500,Delaware River at Montague NJ,ST,41.30916667,-74.79527778,S,NAD83,369.93,0.01,NGVD29,2040104,uv,10,NA,255094,NA,wat,NA,1645597,0,10/2/2019,5/27/2020,238
7314,USGS,1439500,"Bush Kill at Shoemakers, PA",ST,41.08815078,-75.03767469,S,NAD83,421.13,0.01,NGVD29,2040104,uv,10,NA,257414,NA,wat,NA,1645597,0,11/20/2019,5/27/2020,189
7870,USGS,1440000,Flat Brook near Flatbrookville NJ,ST,41.1061111,-74.9525,S,NAD83,347.73,0.02,NGVD29,2040104,uv,10,NA,258163,NA,wat,NA,1645597,0,2/3/2020,5/27/2020,114
7983,USGS,1440400,"Brodhead Creek near Analomink, PA",ST,41.0848148,-75.2146251,S,NAD83,586.5,0.01,NGVD29,2040104,uv,10,NA,257282,NA,wat,NA,1645597,0,11/20/2019,5/27/2020,189
8021,USGS,1446500,Delaware River at Belvidere NJ,ST,40.82638889,-75.0825,S,NAD83,226.43,0.01,NGVD29,2040105,uv,10,NA,245892,at left bank,wat,NA,1645597,0,3/13/2019,5/27/2020,441
8070,USGS,1451380,"Little Lehigh Creek near Trexlertown, PA",ST,40.53120755,-75.60046519,S,NAD83,NA,NA,NA,2040106,uv,10,NA,256556,NA,wat,NA,1645597,0,11/12/2019,5/27/2020,197
8171,USGS,1451500,"Little Lehigh Creek near Allentown, PA",ST,40.5823197,-75.48296088,S,NAD83,253.41,0.01,NGVD29,2040106,uv,10,NA,254915,NA,wat,NA,1645597,0,10/10/2019,5/27/2020,230
8208,USGS,1451630,"Cedar Creek at Mouth near Allentown, PA",ST,40.5875,-75.4968056,S,NAD83,258,2,NAVD88,2040106,uv,10,NA,259309,NA,wat,NA,1645597,0,1/16/2020,5/27/2020,132
8221,USGS,1451650,Little Lehigh Creek at Tenth St. Br. at Allentown,ST,40.59648637,-75.4740717,S,NAD83,245.63,0.01,NGVD29,2040106,uv,10,NA,255663,NA,wat,NA,1645597,0,10/11/2019,5/27/2020,229
8788,USGS,1451800,"Jordan Creek near Schnecksville, PA",ST,40.66176219,-75.626854,S,NAD83,381.16,0.01,NGVD29,2040106,uv,10,NA,254929,NA,wat,NA,1645597,0,10/11/2019,5/27/2020,229
8797,USGS,1455290,Pohatcong Crk at Creek Rd nr Carpentersville NJ,ST,40.6354722,-75.16863889,1,NAD83,164.1,0.01,NAVD88,2040105,uv,10,NA,241626,NA,wat,NA,1645597,0,10/11/2018,5/27/2020,594
9198,USGS,1457500,Delaware River at Riegelsville NJ,ST,40.5947222,-75.1897222,S,NAD83,125.12,0.01,NGVD29,2040105,uv,10,NA,246406,NA,wat,NA,1645597,0,3/28/2019,5/27/2020,426
9294,USGS,1458500,Delaware River at Frenchtown NJ,ST,40.5261111,-75.065,S,NAD83,99.88,0.01,NGVD29,2040105,uv,10,NA,222391,NA,wat,NA,1645597,0,10/1/2014,5/27/2020,2065
9602,USGS,1460860,Lockatong Creek at Route 12 at Baptistown NJ,ST,40.51694444,-74.9916667,S,NAD83,480,10,NGVD29,2040105,uv,10,NA,255691,NA,wat,NA,1645597,0,10/11/2019,5/27/2020,229
9714,USGS,1462000,Delaware River at Lambertville NJ,ST,40.3647222,-74.94888889,S,NAD83,49,0.2,NGVD29,2040105,uv,10,NA,245835,NA,wat,NA,1645597,0,3/14/2019,5/27/2020,440
11060,USGS,1463500,Delaware River at Trenton NJ,ST,40.22166667,-74.7780556,S,NAD83,0,0.01,NGVD29,2040105,uv,10,NA,195093,NA,wat,NA,1645597,0,10/1/2007,5/27/2020,4622
11080,USGS,1464040,Delaware River at Marine Terminal at Trenton NJ,ST-TS,40.18916667,-74.7558333,S,NAD83,0,0.01,NAVD88,2040201,uv,10,NA,239957,NA,wat,NA,1645597,0,10/17/2018,5/27/2020,588
11318,USGS,1464290,Crosswicks Ck at Hockamik Rd near Cookstown NJ,ST,40.0361111,-74.5361111,S,NAD83,NA,NA,NA,2040201,uv,10,NA,256021,NA,wat,NA,1645597,0,6/9/2009,5/27/2020,4005
11717,USGS,1464500,Crosswicks Creek at Extonville NJ,ST,40.1372222,-74.6,S,NAD83,24.94,0.01,NGVD29,2040201,uv,10,NA,260275,NA,wat,NA,1645597,0,1/31/2020,5/27/2020,117
11928,USGS,1465500,"Neshaminy Creek near Langhorne, PA",ST,40.1739982,-74.9568342,S,NAD83,40.57,0.1,NGVD29,2040201,uv,10,NA,243552,NA,wat,NA,1645597,0,12/19/2018,5/27/2020,525
12135,USGS,1465850,South Branch Rancocas Creek at Vincentown NJ,ST,39.94,-74.7630556,S,NAD83,13.17,0.01,NGVD29,2040202,uv,10,NA,257081,NA,wat,NA,1645597,0,11/14/2019,5/27/2020,195
12140,USGS,146587310,Haynes C at Tuckerton Rd at Lake Pine NJ,ST,39.8677222,-74.84175,1,NAD83,NA,NA,NA,2040202,uv,10,NA,262965,NA,wat,NA,1645597,0,3/19/2020,5/25/2020,67
12215,USGS,1465880,Southwest Branch Rancocas Creek at Medford NJ,ST,39.89527778,-74.8236111,S,NAD83,18.38,0.01,NGVD29,2040202,uv,10,NA,262315,Upstream,wat,NA,1645597,0,3/11/2020,5/27/2020,77
12830,USGS,1466500,McDonalds Branch in Byrne State Forest NJ,ST,39.885,-74.50527778,S,NAD83,117.73,0.02,NGVD29,2040202,uv,10,NA,195125,NA,wat,NA,1645597,0,2/8/2012,5/27/2020,3031
13155,USGS,1466900,Greenwood Branch at New Lisbon NJ,ST,39.9561111,-74.62777778,S,NAD83,34.18,0.01,NAVD88,2040202,uv,10,NA,257003,NA,wat,NA,1645597,0,11/12/2019,5/27/2020,197
13677,USGS,1467000,North Branch Rancocas Creek at Pemberton NJ,ST,39.97,-74.6844444,S,NAD83,31.19,0.02,NGVD29,2040202,uv,10,NA,258653,NA,wat,NA,1645597,0,1/6/2020,5/27/2020,142
13881,USGS,1467005,NB Rancocas C at Iron Works Park at Mount Holly NJ,ST,39.99305556,-74.78138889,S,NAD83,0,5,NAVD88,2040202,uv,10,NA,260177,NA,wat,NA,1645597,0,1/30/2020,5/27/2020,118
