web-scraper-order,bank,donor-num,donor-link-href,description,look-alikes,price,race,race-self-described,ethnicity,degree,occupation,weight,height,eye,eye-color-original,hair,hair-color-original,hair-texture,skintone,skin-tone-original,bloodType,donation-age,sign,fave-subjects,jewish,religion,religion-original,goals,pet,describes-himself,hobbies,dominant-hand,hairy-chest,generally-hairy,ear-lobes,beard-color,eyebrows,dimples,acne,acne-info,shoe-size,body-build,face-shape,lips,nose-shape,long-eyelashes,hair-loss,why-donate
1583188577-345,Fairfax,2542,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2542&s=1,"This donor is working on a degree in media arts, loves his chosen profession and is looking forward to settling down and raising his own family. He considers himself a hard working, independent type. Our staff finds him to be the strong silent type. Although initially shy, he does talk openly about his aspirations, his Midwestern values shining through. And he even appreciates a good sunset.",,$975,White,White,German/Polish,BBS/Engineering,Multimedia Video Programmer,199,70,Blue,Blue,Brown,Brown,Straight,3,Medium,A+,23-28,Cancer,"Mathematics, Natural Science, Technology",no,Christian,Christian,"Financial Security, Recognition, Rewarding Career, Success, To Be Happy",Dog,,"Computer, Craftsman, Individual Sports, Outdoor Recreation, Team Sports, Technology",,,,,,,,,,,,,,,,,
1583188255-270,Fairfax,2553,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2553&s=1,"Family traditions are important to this donor. He admires honesty and a willingness to assist others. He also thinks staying calm in stressful times is important.   A student in finance, he also enjoys gymnastics and being athletic.",,$975,White,White,Russian/Ukrainian,BS/Finance; Minor: Psychology,Manager,150,71,Brown,Brown,Brown,Brown,Straight,3,Medium Light,B+,18-22,Scorpio,"History, Languages, Mathematics, Psychology",no,Not Listed,None,"Further Education, Rewarding Career, Success, To Be Happy, Travel",Dog,,"Individual Sports, Team Sports",,,,,,,,,,,,,,,,,
1583188259-272,Fairfax,2669,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2669&s=1,"This donor is of Chinese ancestry. He has jet black hair and brown eyes. He enjoys playing chess and cooking in his free time. This donor also likes to play the piano. Laboratory staff say this donor is a rock, because he is always calm and collected. He dreams of someday being able to travel to South America for vacation.",,"$1,015",Asian,Asian,Chinese/Chinese,JD/Law,Carpenter,160,66,Brown,Brown,Black,Black,Straight,3,Medium,A+,18-22,Libra,"Arts, History, Natural Science, Social Science",no,Not Listed,None,"Community Service, Financial Security, Further Education, Improve Environment, Marriage/Family, Rewarding Career, To Be Happy, To Help People, Travel","Cat, Reptile",,"Artistic, Creative, Culinary, Individual Sports, Outdoor Recreation, Team Sports",,,,,,,,,,,,,,,,,
1583187468-61,Fairfax,2755,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2755&s=1,"This multi-ethnic donor has soft dark brown hair, very nice brown eyes and a beautiful smile. Our staff finds him charming, handsome and very proud of his heritage. He is friendly, optimistic and extremely helpful and humorous. He had a degree in accounting and works in the IT field. He admires loyalty and conscientiousness in others. His best friends are his siblings as family is a top priority.",,"$1,100",Asian,Asian,Indian-Pakistani/Indian-Pakistani,"BS/Accounting, IT",IT Manager/System Admin.,150,69,Brown,Brown,Brown,Brown,Straight,3,Medium Light,A+,18-22,Aquarius,"History, Mathematics, Technology",no,Muslim,Islam,"Community Service, Further Education, Marriage/Family, To Be Happy, To Help People, Travel",Dog,,"Computers, Individual Sports, Outdoor Recreation, Team Sports, Technology",,,,,,,,,,,,,,,,,
1583188103-225,Fairfax,2772,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2772&s=1,"Donor 2772 has an impressive blend of modern hipster meets GQ look. His Latino background gives him an exotic look which is heightened by the contrast between his brown eyes and black hair against his light skin tone. He is boyishly cute, very polite and a genuine person. He has a calm demeanor and a positive vibe which make him very approachable. A very intelligent young man, he speaks enthusiastically about his interest in engineering. Family is very important to him.",,"$1,100",Hispanic,Latino,Bolivian/El Salvadorian,MS/Mechanical Engineering,Technology Service Manager,145,68,Brown,Brown,Black,Black,Wavy,3,Medium Light,A+,18-22,Leo,Technology,no,Christian,Christian (Baptist),"Fame, Financial Security, Further Education, Improve Environment, Rewarding Career, Success, To Be Happy, To Help People",Dog,,"Keyboard player, Martial Arts, Music lover, Running, Soccer",,,,,,,,,,,,,,,,,
1583188265-275,Fairfax,2774,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2774&s=1,"Donor 2774 resembles a young Stephen Baldwin.He has classic southern boy charm and is a bit shy at first. His athletic physique got him voted ""Most Athletic"" in his school. He describes himself as open minded and a talented problem solver. He is a very family oriented kind of person; a caring and attentive husband and father. While most people feel awkward when stepping out of their comfort zone, this donor will take that leap willingly to benefit himself and his family.",,$975,White,White,Austrian-French-Spanish/English-Italian,MS/Information Technology,Systems Engineer,175,72,Green,Green,Brown,Brown,Straight,3,Medium,B+,35-39,Aries,"Arts, History, Languages, Mathematics, Psychology, Social Science, Technology",no,Spiritual,Other (Spiritual),"Community Service, Financial Security, Further Education, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel",Dog (Border Collie),,"Painting, Reading, Sports",,,,,,,,,,,,,,,,,
1583189544-463,Fairfax,2779,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2779&s=1,"Donor 2779 is an ambitious, intelligent and genuine young man. He knows what he wants in life. At the same time, he's very polite, and really nice to everyone.He speaks three languages and comes from a close-knit Indian family. He enjoys sports, especially swimming and soccer, and considers himself an exceptional singer. He has a full head of dark hair and brown eyes with pretty, thick lashes. He always greets us with a warm, kindhearted smile.",,,Asian,Asian,Indian/Indian,BS/Finance,Government Contractor,170,70,Brown,Brown,Black,Black,Straight,3,Medium,B+,18-22,Leo,Other,no,Hindu,Hindu,"Community Service, Fame, Financial Security, Further Education, Marriage/Family, Politics, Recognition, Rewarding Career, Success, To Be Happy, To Help People, Travel",Dog,,"Hiking, Reading, Singing, Swimming",,,,,,,,,,,,,,,,,
1583187991-192,Fairfax,2812,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2812&s=1,"This donor has a PhD in Physics and is doing research. He is slender with hazel eyes, straight brown hair and a warm smile. He has a love of radio controlled models and fondly remembers making toy sail boats with his father. He is intelligent, polite and soft spoken. He believes wisdom does not just come from intellect, but also from a will to do more, better and being honest through it all.",,"$1,100",White,White,Russian/Russian,"PhD/Physics, Math",Professor of Physics,180,72,Hazel,Hazel,Brown,Brown,Straight,3,Medium,A+,35-39,Leo,"Mathematics, Natural Science",no,Agnostic,Other (Agnostic),"Marriage/Family, Rewarding Career",Cat,,"Computer, Individual Sports, Outdoor Recreation, Team Sports, Technology",,,,,,,,,,,,,,,,,
1583187839-151,Fairfax,2815,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2815&s=1,"This donor is multiracial with half Bengali descent. He has an olive complexion, thick black hair, full lips and sleepy dark eyes that are very appealing. He is currently a student working on his Bachelor’s degree in Communications. He loves music and sports in his free time. Staff thinks he is warm and friendly with a positive attitude.",,$975,Mixed,Multi,German-Irish-Italian/Bengali,BA/Communications,Radio Producer,215,72,Brown,Brown,Black,Black,Straight,3,Medium,A+,18-22,Cancer,"History, Mathematics",no,Christian,Christian,"Community Service, Fame, Financial Security, Further Education, Marriage/Family, Success, To Be Happy, To Help People, Travel",Dog,,"Artistic, Creative, Musical, Team Sports",,,,,,,,,,,,,,,,,
1583187798-132,Fairfax,2835,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2835&s=1,"This donor has Chinese heritage, and has traveled extensively. He is pursuing a degree in International Relations and is fluent in English, Chinese and French.  Even though this donor has a light-hearted, humorous side, he is a serious businessman with great aspirations. Also, he has a special musical talent; the donor has  played the piano for almost 10 years.",,$975,Asian,Asian,Chinese/Chinese,BA/International Rel.,Investment Management,140,70,Brown,Brown,Black,Black,Straight,3,Medium,A+,18-22,Scorpio,"History, Languages, Mathematics",no,Atheist,None (Atheist),"Financial Security, Recognition, Rewarding Career, Success, To Be Happy, To Help People",,,"Individual Sports, Musical",,,,,,,,,,,,,,,,,
1583188272-278,Fairfax,2839,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2839&s=1,"Donor 2839 has dazzling hazel eyes and an infectiously cute smile. He has broad shoulders and a solid build; however he is approachable and pleasant. He is laid-back, friendly attitude makes him an excellent candidate to listen and talk to. It's especially adorable to listen to him talk about his new wife and marriage!",,$975,White,White,Polish/Polish,MBA/Finance,Banking/Finance,199,70,Hazel,Hazel,Brown,Brown,Wavy,1,Light,O+,23-28,Cancer,"Languages, Mathematics, Psychology, Social Science",no,Christian,Christian,"Financial Security, Further Education, Marriage/Family, Rewarding Career, To Be Happy, To Help People, Travel",Dog,,"Individual Sports, Outdoor Recreation, Team Sports",,,,,,,,,,,,,,,,,
1583187997-195,Fairfax,2847,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2847&s=1,"His passion is music, attending live performances as often as possible. He has a sweet temperament and appreciates patience and kindness in others. He has a square chin, a chiseled face and boy-next-door good looks. The staff thinks his best features are his hazel eyes. He is friendly, down to earth and a favorite of the staff.",,$975,White,White,English/Irish,BS/Marketing,Strategic Sourcing Manager,170,70,Hazel,Hazel,Brown,Brown,Straight,3,Medium Light,O-,23-28,Sagittarius,"Arts, History, Mathematics, Social Science",no,Christian,Christian,"Community Service, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel",Cat,,"Artistic, Creative, Team Sports",,,,,,,,,,,,,,,,,
1583187808-137,Fairfax,2893,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2893&s=1,"This donor is driven to succeed, not only in his career but in building solid relationships. He admires individuality. He is articulate, friendly with a kind smile and a sweet personality. He has a world view of life and his cultural roots are important to him. He is Russian-Jewish and Armenian with black wavy hair and dark, expressive eyes. He is attractive and has an athletic build like that of a soccer player.",,$975,White,White,Armenian-Jewish-Russian/Armenian,BA/Communications,Real Estate Agent,165,70,Brown,Brown,Black,Black,Wavy,1,Light,A+,23-28,Capricorn,"Arts, History, Psychology",yes,Christian,Christian,"Community Service, Financial Security, Success, To Be Happy, To Help People, Travel",Cat,,"Individual Sports, Team Sports",,,,,,,,,,,,,,,,,
1583188592-352,Fairfax,2922,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2922&s=1,"Donor 2922 is very tall and handsome with dark features. He has an athletic, fit body and presents in a professional manner. He is a down-to-earth individual who is very genuine, always friendly and willing to strike up a conversation. This donor is very intellectual; in fact, he speaks three different languages. In touch with his creative side, he has a talent for writing as well.",,$975,White,White,French-Native American-Norwegian-Scottish/English,PhD/Spanish Literature,Student,202,76,Brown,Brown,Brown,Brown,Straight,1,Light,A+,29-34,Sagittarius,"History, Languages, Social Science",no,Not Listed,None,"Financial Security, Further Education, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel",Dog,,"Artistic, Creative, Musical, Team Sports",,,,,,,,,,,,,,,,,
1583188455-324,Fairfax,2954,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2954&s=1,"This is a very creative and exceptionally intelligent donor. He has studied to be a filmmaker and has a love of culture and learning new things. He admires those who are great listeners and those who are respectful even when they disagree. He is very articulate. He has a full head of curly brown hair, hazel eyes and stands 6 feet 3 inches tall with the build of a runner. He likes to rollerblade in his free time.",,$975,White,White,English/English-German,BFA/Film and Television,Film Crew,200,75,Hazel,Hazel,Brown,Brown,Curly,3,Medium,A+,23-28,Aquarius,"Arts, History, Natural Science, Psychology, Social Science, Technology",no,Christian,Christian,"Community Service, Fame, Financial Security, Further Education, Improve Environment, Marriage/Family, Recognition, Rewarding Career, Success, To Be Happy, To Help People, Travel",Dog,,"Artistic, Creative, Individual Sports, Outdoor Recreation, Team Sports",,,,,,,,,,,,,,,,,
1583188560-337,Fairfax,2977,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2977&s=1,"This donor is 100% Iranian, with a full head of curly hair and dark beautiful eyes. He aspires to be a doctor one day. He is multilingual, loves playing the guitar, is very competitive while living life to the fullest. On the other hand, he is also very laid back. His family has taught him to be respectful and show integrity. He enjoys many sports and especially fishing in his free time.",,$975,Asian,Asian,Iranian/Iranian,BBA/Finance,Investment Banking,200,72,Brown,Brown,Brown,Brown,Curly,3,Medium,B+,18-22,Leo,"History, Mathematics, Natural Science",no,Muslim,Islam,"Fame, Financial Security, Further Education, Marriage/Family, Success, To Be Happy",Dog,,"Individual Sports, Musical, Outdoor Recreation, Team Sports",,,,,,,,,,,,,,,,,
1583188562-338,Fairfax,2982,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2982&s=1,"He is kind, optimistic and very family-oriented. Religious with a solid moral fiber, he is honest and loyal.This donor is toned and athletic, and has wavy brown hair and brown eyes. This donor thoroughly enjoys fishing, hiking, and playing any sport.He is outgoing and intelligent and studying finance. This donor has personal ambitions to be an excellent husband and father.",,$975,White,White,Irish-Scottish/Irish-Scottish,BBA/Finance,Student,182,70,Brown,Brown,Brown,Brown,Wavy,3,Medium,A+,18-22,Scorpio,"History, Natural Science",no,Christian,Christian,"Financial Security, Further Education, God/Religion, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel",Dog,,"Individual Sports, Outdoor Recreation, Team Sports",,,,,,,,,,,,,,,,,
1583188228-257,Fairfax,2983,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2983&s=1,"This donor is Asian with a lean build, broad shoulders and strong arms. He speaks multiple languages and is very well versed in the cultures of other lands. He is polite, kind, clean cut and very family oriented. He aspires to be a physician one day. Musically gifted, he plays the piano and guitar. He believes in perseverance and honesty. He takes an optimistic approach to life.",,"$1,100",Asian,Asian,Taiwanese/Taiwanese,"BS/Kinesiology, Elect. Eng.",Software Developer,181,70,Brown,Brown,Black,Black,Straight,3,Medium,A+,18-22,Virgo,"Psychology, Technology",no,Agnostic,Other (Agnostic),"Community Service, Financial Security, Further Education, Improve Environment, Marriage/Family, Rewarding Career, To Be Happy, To Help People",Dog,,"Individual Sports, Musical, Outdoor Recreation, Team Sports",,,,,,,,,,,,,,,,,
1583187489-71,Fairfax,2990,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2990&s=1,"Donor 2990 has dark, handsome features reflecting his European and Colombian heritage. His best features are his striking brown eyes and very attractive smile. His childhood photo strongly resembles his adult appearance. He is open, honest, and confident with a positive healthy outlook on life. He enjoys reading, meditating and baseball. He is also an avid photographer and great cook.",,"$1,100",Mixed,Multi,English/Colombian,BS/Media Production,Photographer,163,70,Brown,Brown,Brown,Brown,Straight,3,Medium,O+,29-34,Scorpio,"Arts, Mathematics, Natural Science, Other, Technology",no,Buddhist,Other (Buddhist),"Financial Security, Further Education, Improve Environment, Rewarding Career, Success, To Be Happy, To Help People, Travel",Cat,,"Artistic, Craftsman, Creative, Culinary, Individual Sports, Musical, Outdoor Recreation, Team Sports",,,,,,,,,,,,,,,,,
1583188564-339,Fairfax,4001,https://fairfaxcryobank.com/search/donorprofile.aspx?number=4001&s=1,This donor was an eagle scout raised in a Baptist family. He is pursuing his Bachelors degree in Economics with hopes of becoming a lawyer.  This donor enjoys camping and spending time with his family.  Our staff comments that he is resourceful and respectful.  He has curly auburn hair and a fair complexion. In his spare time he enjoys golfing and watching football.,,$975,White,White,English-Swedish/English-German,MA/Liberal Arts,Business Professional,207,73,Brown,Brown,Red,Auburn,Curly,1,Light,AB-,18-22,Pisces,,no,Christian,Christian,,Cat,,Individual Sports,,,,,,,,,,,,,,,,,
1583188567-340,Fairfax,4015,https://fairfaxcryobank.com/search/donorprofile.aspx?number=4015&s=1,"He followed his childhood dream and became a helicopter pilot. He has a muscular physique. He loves hunting and being a pet owner. He has served in the military and is very patriotic. He is friendly and down to earth with an honest, trustworthy approach to life.  Our staff finds him an adorable all American. He is bright, driven and ambitious. His advice to others: keep believing in your dreams.",,$975,White,White,English/German,BS/Business Administration,Operations Mgmt./Business,190,73,Green,Green,Brown,Brown,Straight,3,Medium,A-,23-28,Leo,"History, Mathematics",no,Christian,Christian,"Community Service, Financial Security, Marriage/Family, To Be Happy, To Help People",Dog,,"Individual Sports, Outdoor Recreation, Team Sports",,,,,,,,,,,,,,,,,
1583188594-353,Fairfax,4042,https://fairfaxcryobank.com/search/donorprofile.aspx?number=4042&s=1,"Donor 4042 is an aspiring nurse anesthetist who is a very good student. Very active, he plays lots of team sports and is very fit.  He is particularly passionate about soccer and has played since childhood. He is a proud Eagle Scout who loves the outdoors, especially camping, fishing and hiking.  He has served eight years in the military in the National Guard as a reservist.  Although photos are not available for this donor, he is handsome, with a great friendly smile. His hair is a dark shade of auburn.  He has fine European features. He strongly resembles actor Brian Geraghty.",,$975,White,White,English/German,BA/Business,Student,197,71,Brown,Brown,Red,Auburn,Straight,1,Light,O+,23-28,Virgo,"Arts, History, Mathematics, Natural Science, Psychology, Technology",no,Christian,Christian (Mormon),"Financial Security, Further Education, God/Religion, Marriage/Family, Recognition, Rewarding Career, Success, To Be Happy, To Help People, Travel",Dog,,"Musical, Outdoor Recreation, Team Sports",,,,,,,,,,,,,,,,,
1583188569-341,Fairfax,4048,https://fairfaxcryobank.com/search/donorprofile.aspx?number=4048&s=1,"Donor 4048 has European good looks and an air of self confidence. He is working on becoming a Certified Public Accountant and aspires to own a successful business someday. He is mild mannered, very polite and driven to succeed. He has a gift for learning different languages and is always striving to learn more. This donor is an avid runner and enjoys swimming and playing soccer.",,"$1,100",White,White,Russian/German-Polish-Russian,MS/Accounting,Tax Associate,180,72,Blue,Blue,Brown,Brown,Straight,3,Medium,B+,23-28,Pisces,"History, Languages, Mathematics, Psychology, Technology",no,Christian,Christian (Russian Orthodox),"Fame, Financial Security, Further Education, God/Religion, Improve Environment, Marriage/Family, Politics, Recognition, Rewarding Career, Success, To Be Happy, To Help People, Travel",Cat,,"Computer, Individual Sports, Team Sports, Technology",,,,,,,,,,,,,,,,,
