Order,conceptualGroup,specificGroup,category,phrase,count,meaning,why,source,regulated,regNotes,regCitation
15,Chicken,lifestyle,Certified Humane,American Humane Certified,1,Good,"This nonprofit organization inspects egg farms yearly to ensure that hens live unconfined, with enough room to nest, perch, take dust baths, etc. Hens have unlimited access to fresh water and wholesome feed, and benefit from humane handling.",,no,"Statements must be certified by either the USDA or a 3rd party. Producers must maintain and provide documentation to a USDA Representative upon request. Must not be more than twice the size of the word ""EGG"" on the label.",
15,Chicken,lifestyle,Certified Humane,not listed,35,Neutral,"This nonprofit organization inspects egg farms yearly to ensure that hens live unconfined, with enough room to nest, perch, take dust baths, etc. Hens have unlimited access to fresh water and wholesome feed, and benefit from humane handling.",,no,,
16,Chicken,medication,Antibiotics,not listed,20,Neutral,"The USDA’s 2011 National Residue Program tested 497 egg samples and found no residues of pesticides, contaminants or veterinary drugs, including antibiotics. This isn’t surprising because, according to Pat Curtis, a poultry scientist at Auburn University, laying hens aren’t routinely given antibiotics, and there is a mandated withdrawal period after they do get the drugs (to treat illness) before their eggs can be sold. The 2012 Stanford review concluded that there is “no difference” in contamination risk between conventional and organic eggs.",,yes,,
16,Chicken,medication,Antibiotics,No Antibiotics,30,Misleading,"The USDA’s 2011 National Residue Program tested 497 egg samples and found no residues of pesticides, contaminants or veterinary drugs, including antibiotics. This isn’t surprising because, according to Pat Curtis, a poultry scientist at Auburn University, laying hens aren’t routinely given antibiotics, and there is a mandated withdrawal period after they do get the drugs (to treat illness) before their eggs can be sold. The 2012 Stanford review concluded that there is “no difference” in contamination risk between conventional and organic eggs.",,yes,"If claimed, producers must maintain and provide documentation to a USDA Representative upon Request",
17,Chicken,medication,Hormones,not listed,30,Neutral,"Federal regulations have never allowed the use of hormones or steroids in poultry, pork, or goats.",,yes,,
17,Chicken,medication,Hormones,"No Hormones, with disclaimer",1,Good,"Federal regulations have never allowed the use of hormones or steroids in poultry, pork, or goats.  This was the only product in the sample that put the disclaimer on one of the main panels.  Hooray for clear communication!",,yes,,
17,Chicken,medication,Hormones,No Hormones,19,Misleading,"Federal regulations have never allowed the use of hormones or steroids in poultry, pork, or goats.",,yes,,
18,Product,packaging,Kosher,Kosher logo,10,Neutral,"All eggs are kosher, unless they are broken or have a blood spot on the outside, which would be noticeable. ",,yes,Must meet Kosher requirements in Section 09 of the Shell Egg Graders Handbook,
18,Product,packaging,Kosher,"""Kosher""",0,Neutral,"All eggs are kosher, unless they are broken or have a blood spot on the outside, which would be noticeable. ",,yes,Must meet Kosher requirements in Section 09 of the Shell Egg Graders Handbook,
18,Product,packaging,Kosher,"""Kosher"" and Kosher logo",4,Neutral,"All eggs are kosher, unless they are broken or have a blood spot on the outside, which would be noticeable. ",,yes,Must meet Kosher requirements in Section 09 of the Shell Egg Graders Handbook,
18,Product,packaging,Kosher,not listed,36,Neutral,"All eggs are kosher, unless they are broken or have a blood spot on the outside, which would be noticeable. ",,yes,,
20,Product,packaging,Container Material,Cardboard,30,Neutral,"Packaging material has nothing to do with the egg itself, but is a marketing signal. ",,no,,
20,Product,packaging,Container Material,Plastic,19,Neutral,"Packaging material has nothing to do with the egg itself, but is a marketing signal. ",,no,,
20,Product,packaging,Container Material,Styrofoam,1,Neutral,"Packaging material has nothing to do with the egg itself, but is a marketing signal.",,no,,
20,Product,packaging,Pictures ,none,12,Neutral,Decide for yourself what you think of the packaging and graphic design. ,,no,,
20,Product,packaging,Pictures ,present,38,Neutral,Decide for yourself what you think of the packaging and graphic design. ,,no,,
21,Product,packaging,Other Certifications,N/A,0,Neutral,,,no,,
21,Product,packaging,Other Certifications,Brandspark Most Trusted by American Shoppers,2,Neutral,,,no,"Statements must be certified by either the USDA or a 3rd party. Producers must maintain and provide documentation to a USDA Representative upon request. Must not be more than twice the size of the word ""EGG"" on the label",
21,Product,packaging,Other Certifications,Oregon Tilth Certified Organic,2,Good,,,yes,"Statements must be certified by either the USDA or a 3rd party. Producers must maintain and provide documentation to a USDA Representative upon request. Must not be more than twice the size of the word ""EGG"" on the label",
22,Product,packaging,"Says ""Fresh"" Anywhere",nothing listed,24,Neutral,"""Fresh"" is a famous word in food marketing. ",,yes,,
22,Product,packaging,"Says ""Fresh"" Anywhere",Farm Fresh,6,Neutral,,,yes,,
22,Product,packaging,"Says ""Fresh"" Anywhere",Fresh,21,Neutral,,,yes,,
23,Product,packaging,Tag Lines,NOT FINALIZED,,Misleading,"All tag lines are part of branding and marketing, and usually don't communicate things other than a sentiment that the company wants the consumer to feel.",,no,"*** There's a ton of information here!!!! Come back to this, page 5 of http://nerous.org/wp-content/uploads/2013/08/USDA-Grademarked-Product-Label-Submission-Checklist.pdf",
